from	to	relation	status	method	reviewer	note
acat/military-history	wd/Q192781	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'military history' (60 sitelinks)
acat/environmental-history	wd/Q1561862	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'environmental history' (23 sitelinks)
acat/history-of-science-and-technology	wd/Q2183341	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of science and technology' (16 sitelinks)
acat/intellectual-history	wd/Q1195695	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'intellectual history' (26 sitelinks)
acat/womens-and-gender-history	wd/Q1279400	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/history-of-religions	wd/Q846742	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of religions' (44 sitelinks)
acat/global-and-connected-history	wd/Q6457238	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'world history' (38 sitelinks)
acat/trade-networks	wd/Q405155	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/empires	wd/Q48349	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/colonialism-and-decolonization	wd/Q7167	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'colonialism' (157 sitelinks)
acat/slavery-and-forced-labour	wd/Q8463	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'slavery' (201 sitelinks)
acat/revolutions-and-independence	wd/Q10931	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/archaeology	wd/Q23498	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'archaeology' (188 sitelinks)
acat/archaeological-methods	wd/Q637284	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/cultural-heritage	wd/Q210272	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'cultural heritage' (74 sitelinks)
acat/historiography	wd/Q50675	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'historiography' (96 sitelinks)
acat/historical-method	wd/Q1196545	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'historical method' (34 sitelinks)
acat/oral-history	wd/Q558929	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'oral history' (41 sitelinks)
acat/chronology	wd/Q130788	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/collective-memory	wd/Q254217	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/biography	wd/Q36279	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/genealogy	wd/Q47307	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/auxiliary-sciences-of-history	wd/Q770723	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/numismatics	wd/Q631286	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'numismatics' (87 sitelinks)
acat/epigraphy	wd/Q181260	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'epigraphy' (73 sitelinks)
acat/palaeography	wd/Q179957	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'palaeography' (68 sitelinks)
acat/heraldry	wd/Q18336	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/society	wd/Q8425	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'society' (238 sitelinks)
acat/sociology	wd/Q21201	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'sociology' (206 sitelinks)
acat/anthropology	wd/Q23404	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'anthropology' (200 sitelinks)
acat/cultural-anthropology	wd/Q28598	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/biological-anthropology	wd/Q27172	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'biological anthropology' (74 sitelinks)
acat/linguistic-anthropology	wd/Q772835	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'linguistic anthropology' (38 sitelinks)
acat/social-groups	wd/Q874405	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/family-and-kinship	wd/Q8436	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/ethnicity	wd/Q5404323	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'ethnicity' (48 sitelinks)
acat/indigenous-peoples			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/gender	wd/Q48277	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'gender' (117 sitelinks)
acat/sexual-orientation-and-gender-identity	wd/Q17888	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/disability	wd/Q12131	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'disability' (132 sitelinks)
acat/migration-and-diaspora	wd/Q177626	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/discrimination-and-equality	wd/Q169207	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/social-stratification	wd/Q841628	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'social stratification' (56 sitelinks)
acat/poverty	wd/Q10294	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'poverty' (183 sitelinks)
acat/population	wd/Q37732	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'demography' (128 sitelinks)
acat/human-geography	wd/Q12831143	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'human geography' (84 sitelinks)
acat/cities-and-settlements	wd/Q486972	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/political-geography	wd/Q191320	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'political geography' (58 sitelinks)
acat/economics	wd/Q159810	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'economy' (144 sitelinks)
acat/microeconomics	wd/Q39072	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'microeconomics' (113 sitelinks)
acat/macroeconomics	wd/Q39680	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'macroeconomics' (113 sitelinks)
acat/economic-systems	wd/Q273005	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/economic-thought	wd/Q268194	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'history of economic thought' (55 sitelinks)
acat/money-and-finance	wd/Q43015	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/trade	wd/Q26643	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'commerce' (46 sitelinks)
acat/labour-and-work	wd/Q268378	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'work' (152 sitelinks)
acat/business-and-management	wd/Q2920921	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/informal-economy	wd/Q944235	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'informal economy' (36 sitelinks)
acat/development-economics	wd/Q1127188	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'development economics' (36 sitelinks)
acat/development-studies	wd/Q651571	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'development studies' (20 sitelinks)
acat/politics	wd/Q7163	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/political-systems	wd/Q28108	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/political-ideologies	wd/Q12909644	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/public-policy	wd/Q31728	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'public administration' (70 sitelinks)
acat/social-welfare	wd/Q828395	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/elections-and-participation	wd/Q189760	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'voting' (86 sitelinks)
acat/international-relations	wd/Q166542	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'international relations' (101 sitelinks)
acat/international-organizations	wd/Q484652	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/conflict-and-peace	wd/Q198	narrowMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'war' (265 sitelinks)
acat/human-rights	wd/Q8458	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'human rights' (202 sitelinks)
acat/social-movements	wd/Q49773	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/law	wd/Q7748	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/legal-systems	wd/Q858700	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/civil-law-tradition	wd/Q5950118	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/common-law-tradition	wd/Q30216	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/religious-law	wd/Q670732	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'religious law' (41 sitelinks)
acat/customary-law	wd/Q1479995	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'customary law' (58 sitelinks)
acat/constitutional-law	wd/Q11206	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'constitutional law' (80 sitelinks)
acat/criminal-justice	wd/Q117488	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/private-law	wd/Q4122235	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'private law' (56 sitelinks)
acat/international-law	wd/Q4394526	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'international law' (112 sitelinks)
acat/education	wd/Q8434	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'education' (259 sitelinks)
acat/pedagogy	wd/Q7922	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'pedagogy' (136 sitelinks)
acat/schooling	wd/Q3914	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/higher-education	wd/Q136822	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'higher education' (70 sitelinks)
acat/literacy	wd/Q8236	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'literacy' (131 sitelinks)
acat/informal-education	wd/Q2893573	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/technology	wd/Q11016	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'technology' (243 sitelinks)
acat/engineering	wd/Q11023	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'engineering' (179 sitelinks)
acat/civil-engineering	wd/Q77590	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'civil engineering' (98 sitelinks)
acat/mechanical-engineering	wd/Q101333	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'mechanical engineering' (107 sitelinks)
acat/electrical-engineering	wd/Q43035	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/chemical-engineering	wd/Q83588	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'chemical engineering' (85 sitelinks)
acat/aerospace-engineering	wd/Q3798668	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'aerospace engineering' (64 sitelinks)
acat/materials-science	wd/Q228736	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'materials science' (82 sitelinks)
acat/biomedical-engineering	wd/Q327092	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'biomedical engineering' (58 sitelinks)
acat/robotics	wd/Q170978	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'robotics' (96 sitelinks)
acat/computing	wd/Q11661	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'information technology' (138 sitelinks)
acat/computer-science	wd/Q21198	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'computer science' (204 sitelinks)
acat/software	wd/Q7397	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/computer-hardware	wd/Q3966	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'computer hardware' (130 sitelinks)
acat/internet	wd/Q75	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/artificial-intelligence	wd/Q11660	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'artificial intelligence' (213 sitelinks)
acat/data-and-databases	wd/Q8513	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/information-security	wd/Q189900	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/telecommunications	wd/Q418	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'telecommunications' (133 sitelinks)
acat/energy-technology	wd/Q14554973	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'energy technology' (11 sitelinks)
acat/fossil-fuel-energy	wd/Q12748	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/nuclear-energy	wd/Q12739	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/renewable-energy	wd/Q12705	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'renewable energy' (134 sitelinks)
acat/electric-power	wd/Q1096907	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/energy-storage	wd/Q837718	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'energy storage' (41 sitelinks)
acat/manufacturing	wd/Q8148	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'industry' (158 sitelinks)
acat/metallurgy	wd/Q11467	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'metallurgy' (129 sitelinks)
acat/textile-production	wd/Q607081	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/printing	wd/Q11034	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/crafts-and-trades	wd/Q877729	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/mining	wd/Q44497	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/agriculture	wd/Q11451	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/crop-farming	wd/Q173113	relatedMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/pastoralism-and-livestock	wd/Q80962	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'animal husbandry' (111 sitelinks)
acat/fisheries-and-aquaculture	wd/Q14373	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'fishing' (132 sitelinks)
acat/forestry	wd/Q38112	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'forestry' (84 sitelinks)
acat/farming-systems			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/food-technology	wd/Q1039642	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'food technology' (31 sitelinks)
acat/transport	wd/Q7590	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'transport' (224 sitelinks)
acat/road-transport	wd/Q516739	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'road transport' (48 sitelinks)
acat/rail-transport	wd/Q3565868	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'rail transport' (89 sitelinks)
acat/water-transport	wd/Q155930	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/air-transport	wd/Q118984357	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'air transport' (23 sitelinks)
acat/spaceflight	wd/Q180046	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'space exploration' (86 sitelinks)
acat/construction	wd/Q3875186	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/military-technology	wd/Q329864	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'military technology' (40 sitelinks)
acat/biotechnology	wd/Q7108	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'biotechnology' (134 sitelinks)
acat/thought	wd/Q9081	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'knowledge' (198 sitelinks)
acat/philosophy	wd/Q5891	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'philosophy' (318 sitelinks)
acat/metaphysics	wd/Q35277	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'metaphysics' (143 sitelinks)
acat/epistemology	wd/Q9471	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'epistemology' (153 sitelinks)
acat/ethics	wd/Q9465	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'ethics' (180 sitelinks)
acat/applied-ethics	wd/Q538733	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'applied ethics' (37 sitelinks)
acat/aesthetics	wd/Q35986	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'aesthetics' (141 sitelinks)
acat/political-philosophy	wd/Q179805	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'political philosophy' (91 sitelinks)
acat/philosophy-of-mind	wd/Q23407	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'philosophy of mind' (72 sitelinks)
acat/philosophy-of-language	wd/Q484761	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'philosophy of language' (72 sitelinks)
acat/philosophy-of-science	wd/Q59115	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'philosophy of science' (86 sitelinks)
acat/philosophical-traditions			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/african-philosophy	wd/Q386260	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'African philosophy' (25 sitelinks)
acat/buddhist-philosophy	wd/Q1001079	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'buddhist philosophy' (46 sitelinks)
acat/chinese-philosophy	wd/Q184663	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Chinese philosophy' (68 sitelinks)
acat/indian-philosophy	wd/Q376022	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Indian philosophy' (72 sitelinks)
acat/indigenous-philosophies			unmatched	sparql-label+review	claude (AI agent, session 2026-09-25)	no Wikidata item judged equivalent in review
acat/islamic-philosophy	wd/Q193104	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Islamic philosophy' (67 sitelinks)
acat/japanese-philosophy	wd/Q1194146	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Japanese philosophy' (27 sitelinks)
acat/jewish-philosophy	wd/Q837795	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Jewish philosophy' (39 sitelinks)
acat/latin-american-philosophy	wd/Q3745514	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Latin American philosophy' (6 sitelinks)
acat/western-philosophy	wd/Q842333	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'Western philosophy' (74 sitelinks)
acat/logic	wd/Q8078	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'logic' (211 sitelinks)
acat/mathematical-logic	wd/Q1166618	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'mathematical logic' (105 sitelinks)
acat/argumentation	wd/Q270105	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/mathematics	wd/Q395	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'mathematics' (340 sitelinks)
acat/numeral-systems	wd/Q122653	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/number-theory	wd/Q12479	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/algebra	wd/Q3968	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'algebra' (201 sitelinks)
acat/geometry-and-topology	wd/Q5535522	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'geometry and topology' (2 sitelinks)
acat/mathematical-analysis	wd/Q7754	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'mathematical analysis' (141 sitelinks)
acat/probability-and-statistics	wd/Q4165455	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'probability and statistics' (5 sitelinks)
acat/discrete-mathematics	wd/Q121416	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'discrete mathematics' (89 sitelinks)
acat/applied-mathematics	wd/Q33521	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'applied mathematics' (89 sitelinks)
acat/game-theory	wd/Q44455	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'game theory' (98 sitelinks)
acat/foundations-of-mathematics	wd/Q833585	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'foundations of mathematics' (39 sitelinks)
acat/science	wd/Q336	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/scientific-method	wd/Q46857	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'scientific method' (111 sitelinks)
acat/research-methods	wd/Q185698	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/science-and-society	wd/Q472328	narrowMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'science communication' (25 sitelinks)
acat/traditional-knowledge	wd/Q1428168	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/traditional-ecological-knowledge	wd/Q7832334	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'traditional ecological knowledge' (12 sitelinks)
acat/traditional-navigation	wd/Q826781	narrowMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/information-science	wd/Q13420675	closeMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'library and information science' (29 sitelinks)
acat/libraries	wd/Q7075	exactMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/archives	wd/Q166118	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/museums	wd/Q33506	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/knowledge-organization	wd/Q1929761	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/reference-works	wd/Q13136	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
acat/information-theory	wd/Q131222	exactMatch	accepted	sparql-label+review	claude (AI agent, session 2026-09-25)	matched 'information theory' (78 sitelinks)
acat/systems-and-complexity	wd/Q269699	closeMatch	accepted	reviewer-suggested-label+review	claude (AI agent, session 2026-09-25)	
